"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore","DraftBin","ExpectedScore","Count","FinalScore"
"468",13,"NOK","Julian Wright",4,231,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,"-0.5",1.2,201153,0.571,0.299,0.71,328,0.704268292682927,"F",1.42398666473924,"1-15",3.716678058383,21,-2.29269139364375
"469",14,"LAC","Al Thornton",4,296,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,"-3.5",-3.2,201154,0.625,0.514,1.432,328,0.902439024390244,"F",3.79518406231185,"1-15",3.25489603167226,21,0.540288030639591
"470",15,"DET","Rodney Stuckey",10,651,0.423,0.3,0.824,27.5,12.6,2.9,3.6,28.7,0.077,"-0.9",4.9,201155,0.873,0.144,1.814,820,0.79390243902439,"G",4.98084343233736,"1-15",3.12037900468881,20,1.86046442764855
"471",16,"WAS","Nick Young",12,720,0.418,0.376,0.836,22.8,11.4,2,1,18.6,0.054,"-2.2",-0.8,201156,0.547,0.188,0.988,984,0.731707317073171,"G",3.9354110916121,"16-30",3.05187191900081,18,0.883539172611285
"472",17,"NJN","Sean Williams",4,137,0.511,0,0.624,14.4,4.2,3.4,0.3,3,0.073,"-3.1",-0.6,201157,0.343,1.182,0.876,328,0.417682926829268,"F",1.45738465749444,"16-30",2.90041503188993,21,-1.4430303743955
"473",18,"GSW","Marco Belinelli",13,860,0.424,0.376,0.846,22.7,9.7,2.1,1.7,30.5,0.075,"-1.3",3.3,201158,0.567,0.076,0.988,1066,0.806754221388368,"G",3.60085407513482,"16-30",2.94249623314111,19,0.658357841993719
"474",20,"MIA","Jason Smith",11,616,0.468,0.333,0.783,16.3,6.1,3.4,0.7,14.1,0.067,"-2.9",-2.4,201160,0.338,0.662,0.823,902,0.682926829268293,"F",2.07709213083303,"16-30",2.66942577373078,19,-0.592333642897754
"475",21,"PHI","Daequan Cook",6,328,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,"-2.7",-1.1,201161,0.366,0.146,0.54,492,0.666666666666667,"G",2.398554085403,"16-30",3.55641440446149,15,-1.15786031905849
"476",22,"CHA","Jared Dudley",14,904,0.463,0.393,0.732,22.3,7.3,3.2,1.5,43,0.103,"0.2",11,201162,0.785,0.185,0.844,1148,0.787456445993031,"F",2.6265403940479,"16-30",2.46886810084039,17,0.157672293207506
"477",23,"NYK","Wilson Chandler",12,676,0.443,0.341,0.77,30,12.5,5.3,1.8,29,0.069,"-1.3",3.5,201163,0.695,0.612,1.377,984,0.686991869918699,"F",4.23916139529878,"16-30",2.8526232644035,19,1.38653813089528
"478",24,"PHO","Rudy Fernandez",4,249,0.399,0.36,0.84,24,9.1,2.4,2.2,14.2,0.114,"1.7",5.6,201164,1,0.161,1.149,328,0.759146341463415,"G",3.60162484088195,"16-30",3.01275508091882,20,0.588869759963133
"479",25,"UTA","Morris Almond",3,38,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005,"-6.1",-0.4,201165,0.316,0.105,0.5,246,0.154471544715447,"G",1.17370099538373,"16-30",2.46676606636341,20,-1.29306507097968
"480",26,"HOU","Aaron Brooks",10,645,0.413,0.37,0.837,20.8,9.7,1.7,3,19.2,0.069,"-1.2",2.7,201166,0.557,0.135,1.55,820,0.786585365853659,"G",3.8089209250948,"16-30",2.63290018518975,17,1.17602073990506
"481",27,"DET","Arron Afflalo",11,762,0.45,0.386,0.825,27.3,10.8,2.9,1.8,33.5,0.077,"-1.5",2.4,201167,0.448,0.185,1.118,902,0.844789356984479,"G",4.04920517226577,"16-30",2.75816560979671,18,1.29103956246906
"482",28,"SAS","Tiago Splitter",7,355,0.555,0.143,0.697,19.2,7.9,5,1.2,25.3,0.178,"1.1",5.4,201168,0.558,0.589,1.082,574,0.618466898954704,"C",2.20277548853532,"16-30",2.42838908895637,17,-0.225613600421048
"483",29,"PHO","Alando Tucker",3,51,0.423,0.294,0.783,8.4,4.1,1,0.3,0.4,0.045,"-4.5",-0.3,201169,0.098,0.039,0.373,246,0.207317073170732,"F",1.25566921802456,"16-30",1.86228316485971,16,-0.606613946835147
"484",31,"SEA","Carl Landry",9,513,0.535,0.3,0.785,22.5,10.8,4.9,0.7,35.9,0.149,"-0.3",5,201171,0.421,0.396,1.175,738,0.695121951219512,"F",3.34873691532529,"31-60",2.89122383043389,15,0.457513084891406
"485",35,"SEA","Glen Davis",8,514,0.447,0.182,0.7,21.1,8,4.4,0.9,18.6,0.082,"-2.6",-1.7,201175,0.695,0.337,1.027,656,0.783536585365854,"F",2.63594793821849,"31-60",2.27861211179468,12,0.357335826423804
"486",37,"POR","Josh McRoberts",11,433,0.463,0.34,0.705,19.1,5.4,3.9,2.1,18.5,0.107,"0.3",4.7,201177,0.513,0.448,0.88,902,0.480044345898004,"F",2.36683488928847,"31-60",2.12535211082682,11,0.241482778461647
"487",38,"PHI","Kyrylo Fesenko",5,135,0.496,0,0.41,8.2,2.3,2,0.3,0.9,0.038,"-5.7",-1.1,201178,0.141,0.393,0.489,410,0.329268292682927,"C",0.691619534280244,"31-60",2.46860903017935,15,-1.77698949589911
"488",47,"WAS","Dominic McGuire",6,342,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037,"-2.1",-0.1,201187,0.45,0.538,0.708,492,0.695121951219512,"F",1.30755814779329,"31-60",2.51722662741152,9,-1.20966847961822
"489",48,"LAL","Marc Gasol",13,891,0.481,0.36,0.776,32.2,14,7.4,3.4,85.3,0.143,"3.1",36.5,201188,0.889,1.407,1.97,1066,0.835834896810507,"C",4.23002690911816,"31-60",2.71634037853189,6,1.51368653058627
"490",49,"CHI","Aaron Gray",7,318,0.509,0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,"-3.6",-1.5,201189,0.296,0.274,0.833,574,0.554006968641115,"C",1.13537514940562,"31-60",1.78761050215189,8,-0.652235352746268
"491",56,"MIL","Ramon Sessions",11,691,0.434,0.316,0.791,23.3,10.3,2.7,4.1,28.8,0.086,"-0.7",5.2,201196,0.683,0.075,1.698,902,0.766075388026608,"G",4.3759620848294,"31-60",2.65875788897852,5,1.71720419585088
"492",1,"CHI","Derrick Rose",15,723,0.456,0.316,0.831,30.5,17.4,3.2,5.2,44.6,0.097,"1.2",18.2,201565,0.741,0.335,2.415,1230,0.58780487804878,"G",6.79817247824973,"1-15",5.40227744981826,21,1.39589502843147
"493",2,"MIA","Michael Beasley",11,609,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,"-1.7",0.9,201563,0.567,0.516,1.683,902,0.675166297117517,"F",3.95100299437076,"1-15",4.31202007317063,20,-0.361017078799863
"494",3,"MIN","O.J. Mayo",8,547,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,"-0.9",4.7,201564,1.022,0.258,2.066,656,0.833841463414634,"G",5.19197549124122,"1-15",5.18058806678938,21,0.0113874244518408
"495",4,"SEA","Russell Westbrook",17,1237,0.439,0.305,0.772,33.3,21.2,7,8,112.5,0.131,"3.6",58.4,201566,1.595,0.331,3.946,1394,0.887374461979914,"G",9.0248274405817,"1-15",4.84432781908783,21,4.18049962149387
"496",5,"MEM","Kevin Love",17,952,0.438,0.369,0.828,28.9,16.2,10,2.3,94.9,0.166,"3.2",36.3,201567,0.606,0.391,1.772,1394,0.682926829268293,"F",5.52932863384702,"1-15",4.12639751013355,21,1.40293112371347
"497",6,"NYK","Danilo Gallinari",14,777,0.428,0.381,0.876,28.8,14.9,4.7,1.9,65.4,0.14,"1.7",20.8,201568,0.709,0.345,1.169,1148,0.676829268292683,"F",4.91425954864439,"1-15",3.75387095989043,21,1.16038858875396
"498",7,"LAC","Eric Gordon",17,925,0.43,0.372,0.81,31.2,15.3,2.3,2.7,41.9,0.07,"-0.8",9,201569,0.84,0.351,1.814,1394,0.663558106169297,"G",5.50983035257654,"1-15",4.39397812840409,21,1.18377386959646
"499",9,"CHA","D.J. Augustin",14,976,0.412,0.381,0.867,23.4,9.5,1.8,3.9,47.7,0.1,"-0.7",7.6,201571,0.581,0.033,1.463,1148,0.850174216027875,"G",3.98685176890142,"1-15",4.12142597603224,20,-0.134574207130822
"500",10,"NJN","Brook Lopez",17,1105,0.497,0.352,0.797,30.3,15.9,6.1,1.5,91.9,0.132,"1.3",27.8,201572,0.577,1.877,1.596,1394,0.792682926829268,"C",3.80163431720144,"1-15",3.85756897884724,21,-0.0559346616458019
"501",11,"IND","Jerryd Bayless",11,586,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,"-1.6",1.1,201573,0.631,0.125,1.408,902,0.649667405764967,"G",3.46248797403647,"1-15",2.79711748836319,20,0.665370485673284
"502",12,"SAC","Jason Thompson",8,588,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,"-2.6",-2.4,201574,0.481,0.704,1.27,656,0.896341463414634,"F",3.05506264788722,"1-15",2.48895296394094,19,0.566109683946276
"503",13,"POR","Brandon Rush",9,481,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,"-1.4",1.6,201575,0.462,0.545,0.832,738,0.651761517615176,"G",2.70554568058423,"1-15",3.716678058383,21,-1.01113237779877
"504",14,"GSW","Anthony Randolph",6,252,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,"-1.6",0.4,201576,0.595,0.889,1.183,492,0.51219512195122,"F",2.36440246978027,"1-15",3.25489603167226,21,-0.890493561891995
"505",15,"PHO","Robin Lopez",16,992,0.537,0.297,0.743,21.1,8.4,4.7,0.8,49.6,0.114,"-1.1",4.6,201577,0.221,1.053,1.072,1312,0.75609756097561,"C",2.15402929345663,"1-15",3.12037900468881,20,-0.966349711232176
"506",16,"PHI","Marreese Speights",10,705,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,"-2.2",-0.6,201578,0.268,0.505,0.871,820,0.859756097560976,"F",2.57609317659841,"16-30",3.05187191900081,18,-0.475778742402397
"507",17,"TOR","Roy Hibbert",9,662,0.465,0.25,0.755,24.8,10,6.3,1.3,35.9,0.105,"-1.1",3.5,201579,0.364,1.731,1.568,738,0.897018970189702,"C",2.74978501895485,"16-30",2.90041503188993,21,-0.150630012935089
"508",18,"WAS","JaVale McGee",16,909,0.578,0.192,0.604,16.1,7.6,5,0.4,43.7,0.143,"0",7.3,201580,0.38,1.384,0.986,1312,0.692835365853659,"C",1.94165443438781,"16-30",2.94249623314111,19,-1.0008417987533
"509",19,"CLE","J.J. Hickson",8,534,0.505,0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,"-1.8",0.5,NA,0.513,0.579,1.449,656,0.814024390243902,"C",2.43157022223566,"16-30",2.72321618088366,19,-0.291645958648004
"510",20,"CHA","Alexis Ajinca",7,293,0.503,0.286,0.797,13.3,5.3,3.9,0.5,7.5,0.093,"-2.8",-0.8,201582,0.348,0.618,0.85,574,0.510452961672474,"C",1.43601365546109,"16-30",2.66942577373078,19,-1.23341211826969
"511",21,"NJN","Ryan Anderson",12,649,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,0.134,"1",12.8,201583,0.512,0.334,0.934,984,0.659552845528455,"F",3.87988357210093,"16-30",3.55641440446149,15,0.323469167639433
"512",22,"ORL","Courtney Lee",12,811,0.451,0.388,0.853,27.1,9.6,2.6,1.7,39.3,0.086,"-0.6",7.9,201584,0.998,0.263,0.94,984,0.824186991869919,"G",3.68997617934105,"16-30",2.46886810084039,17,1.22110807850066
"513",23,"UTA","Kosta Koufos",11,686,0.534,0,0.582,16.4,5.7,5,0.5,28.3,0.12,"-1.3",2,201585,0.424,0.738,0.698,902,0.760532150776053,"C",1.64194963401164,"16-30",2.8526232644035,19,-1.21067363039186
"514",24,"SEA","Serge Ibaka",14,919,0.513,0.359,0.757,27.3,12,7.1,0.8,73,0.139,"0.5",15.7,201586,0.406,1.914,1.292,1148,0.800522648083624,"F",4.00133784332725,"16-30",3.01275508091882,20,0.988582762408436
"515",25,"HOU","Nicolas Batum",17,1131,0.437,0.369,0.832,28.9,10,4.8,3.1,73.9,0.109,"1.5",28.7,201587,0.922,0.623,1.482,1394,0.811334289813486,"G",4.4088415402872,"16-30",2.46676606636341,20,1.9420754739238
"516",26,"SAS","George Hill",15,915,0.457,0.38,0.806,26.8,10.4,3,3.1,71,0.139,"1.1",19.4,201588,0.881,0.255,1.192,1230,0.74390243902439,"G",4.28751683622137,"16-30",2.63290018518975,17,1.65461665103162
"517",27,"NOH","Darrell Arthur",9,503,0.444,0.352,0.765,17.8,6.5,3.5,0.8,12.3,0.066,"-2.2",-0.4,201589,0.614,0.61,0.839,738,0.681571815718157,"F",2.21950975294477,"16-30",2.75816560979671,18,-0.538655856851936
"518",28,"MEM","Donte Greene",4,253,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,"-2.8",-0.9,201590,0.439,0.458,0.877,328,0.771341463414634,"F",2.00475103860322,"16-30",2.42838908895637,17,-0.423638050353148
"519",29,"DET","D.J. White",6,138,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,"-2.1",0,NA,0.283,0.413,0.471,492,0.280487804878049,"F",1.98521234192217,"16-30",1.86228316485971,16,0.122929177062463
"520",31,"MIN","Nikola Pekovic",6,271,0.518,0,0.76,24.9,12.6,6.7,0.7,18.8,0.134,"-0.7",2.2,201593,0.517,0.557,1.528,492,0.550813008130081,"C",2.88385675389695,"31-60",2.89122383043389,15,-0.00736707653693669
"521",33,"POR","Joey Dorsey",4,130,0.534,0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,"-2.7",-0.3,201595,0.515,0.338,0.662,328,0.396341463414634,"C",0.93994289401922,"31-60",1.91168645371807,12,-0.971743559698846
"522",34,"MIN","Mario Chalmers",9,646,0.417,0.351,0.793,26.7,8.9,2.5,3.7,32.3,0.09,"-0.6",5.9,201596,1.471,0.159,1.861,738,0.875338753387534,"G",3.87775679376381,"31-60",2.17911092621254,12,1.69864586755127
"523",35,"LAC","DeAndre Jordan",17,1111,0.674,0.154,0.475,25.1,8.5,9.7,0.9,98.8,0.17,"1.1",22.2,201599,0.514,1.41,1.299,1394,0.796987087517934,"C",2.70348868514077,"31-60",2.27861211179468,12,0.424876573346085
"524",36,"POR","Omer Asik",8,471,0.528,0,0.551,19.6,5.3,7.1,0.6,20.9,0.109,"-1.9",0.1,201600,0.355,0.72,1.151,656,0.717987804878049,"C",1.74545246406217,"31-60",1.85651999136716,11,-0.111067527304989
"525",37,"MIL","Luc Mbah a Moute",12,689,0.454,0.334,0.659,23.3,6.4,4.1,0.9,26,0.078,"-1.5",2,201601,0.888,0.382,0.938,984,0.70020325203252,"F",2.20220406206849,"31-60",2.12535211082682,11,0.076851951241665
"526",38,"CHA","Kyle Weaver",3,73,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051,"-1.1",0.3,201602,0.753,0.452,1.096,246,0.296747967479675,"G",2.19634058246219,"31-60",2.46860903017935,15,-0.272268447717156
"527",39,"CHI","Sonny Weems",4,183,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,"-4.2",-1.8,201603,0.459,0.153,1.082,328,0.557926829268293,"F",2.28674901103702,"31-60",2.5674822870241,11,-0.280733275987074
"528",40,"NJN","Chris Douglas-Roberts",6,222,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,0.059,"-2.2",-0.2,201604,0.577,0.248,0.901,492,0.451219512195122,"G",2.68900932086993,"31-60",3.2073762089899,12,-0.518366888119976
"529",45,"SAS","Goran Dragic",15,946,0.459,0.362,0.766,27.1,13.3,3,4.7,56.7,0.106,"0.5",15.9,201609,0.926,0.177,2.182,1230,0.769105691056911,"G",5.44010746886585,"31-60",2.582195029983,9,2.85791243888285
"530",47,"WAS","Henry Walker",5,181,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,"-1.8",0.2,201611,0.514,0.149,0.785,410,0.441463414634146,"F",1.97216680408451,"31-60",2.51722662741152,9,-0.545059823327006
"531",52,"MIA","Darnell Jackson",3,138,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,"-5.2",-0.8,201616,0.174,0.08,0.362,246,0.560975609756098,"F",0.719109145400342,"31-60",1.51513256263103,6,-0.796023417230691
"532",1,"LAC","Blake Griffin",13,765,0.493,0.328,0.696,31.9,19,8,4,81.1,0.16,"3.3",32.8,201933,0.818,0.469,2.264,1066,0.717636022514071,"F",6.79528627478771,"1-15",5.40227744981826,21,1.39300882496945
"533",2,"MEM","Hasheem Thabeet",5,224,0.567,0,0.578,10.5,2.2,2.7,0.1,4.8,0.099,"-2.7",-0.4,201934,0.263,0.821,0.549,410,0.546341463414634,"C",0.70945104548822,"1-15",4.31202007317063,20,-3.60256902768241
"534",3,"OKC","James Harden",16,1151,0.439,0.363,0.861,34.8,24.1,5.6,7.2,174.7,0.21,"6.3",84.2,201935,1.504,0.575,3.753,1312,0.877286585365854,"G",9.55829862680749,"1-15",5.18058806678938,21,4.37771056001811
"535",4,"SAC","Tyreke Evans",10,594,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,"0.8",13.1,201936,1.236,0.374,2.507,820,0.724390243902439,"G",6.40060448683553,"1-15",4.84432781908783,21,1.55627666774771
"536",5,"MIN","Ricky Rubio",12,698,0.388,0.324,0.843,29.6,10.8,4.1,7.4,42.3,0.098,"0.5",13.3,201937,1.756,0.135,2.533,984,0.709349593495935,"G",5.51102465032544,"1-15",4.12639751013355,21,1.38462714019189
"537",6,"MIN","Jonny Flynn",3,163,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,"-4",-1.9,201938,0.748,0.043,2.344,246,0.66260162601626,"G",3.82002768679724,"1-15",3.75387095989043,21,0.0661567269068106
"538",7,"GSW","Stephen Curry",16,1026,0.471,0.423,0.911,34.1,24.7,4.7,6.4,143.1,0.196,"6.5",74.7,201939,1.533,0.263,3.145,1312,0.782012195121951,"G",9.46723939343583,"1-15",4.39397812840409,21,5.14118291045575
"539",8,"NYK","Jordan Hill",8,409,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,"-2",0,201941,0.367,0.665,1.042,656,0.623475609756098,"F",2.66206410925334,"1-15",3.46277602238357,20,-0.800711913130227
"540",9,"TOR","DeMar DeRozan",16,1187,0.469,0.3,0.842,34.7,21.3,4.4,4.1,108.5,0.126,"0.8",29.4,201942,1.003,0.334,2.019,1312,0.904725609756098,"G",7.92885959343834,"1-15",4.12142597603224,20,3.8074336174061
"541",10,"MIL","Brandon Jennings",9,555,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9,0.085,"0.8",11.8,201943,1.223,0.177,2.168,738,0.752032520325203,"G",5.94933131497688,"1-15",3.85756897884724,21,2.09176233612964
"542",11,"NJN","Terrence Williams",4,153,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,"-2.8",-0.6,201944,0.542,0.124,1.451,328,0.466463414634146,"G",3.12597985800251,"1-15",2.79711748836319,20,0.328862369639321
"543",12,"CHA","Gerald Henderson",8,535,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,"-1.8",0.6,201945,0.669,0.342,1.194,656,0.815548780487805,"G",4.25259617352232,"1-15",2.48895296394094,19,1.76364320958137
"544",13,"IND","Tyler Hansbrough",7,428,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,"-2",0,201946,0.484,0.213,0.745,574,0.745644599303136,"F",2.10576199351455,"1-15",3.716678058383,21,-1.61091606486845
"545",14,"PHO","Earl Clark",6,261,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,"-2.8",-0.8,201947,0.318,0.521,0.67,492,0.530487804878049,"F",1.51526779183917,"1-15",3.25489603167226,21,-1.73962823983309
"546",15,"DET","Austin Daye",6,293,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,"-2",0,201948,0.396,0.399,0.696,492,0.595528455284553,"F",1.77775593452527,"1-15",3.12037900468881,20,-1.34262307016354
"547",16,"CHI","James Johnson",16,786,0.473,0.3,0.678,19.8,7.4,3.5,2,27.4,0.084,"0.4",9.3,201949,0.739,0.833,1.333,1312,0.599085365853659,"F",2.86511148639581,"16-30",3.05187191900081,18,-0.186760432605006
"548",17,"PHI","Jrue Holiday",16,1037,0.462,0.37,0.788,32.9,15.8,4.2,6.2,74.6,0.105,"1.6",31.1,201950,1.439,0.519,2.611,1312,0.790396341463415,"G",6.74020802179395,"16-30",2.90041503188993,21,3.83979298990402
"549",18,"MIN","Ty Lawson",8,551,0.46,0.359,0.77,29.2,12.7,2.7,6,42.1,0.126,"1.4",13.6,201951,1.154,0.094,2.103,656,0.839939024390244,"G",5.55744467415185,"16-30",2.94249623314111,19,2.61494844101075
"550",19,"ATL","Jeff Teague",12,826,0.444,0.36,0.844,26.8,12.2,2.4,5.6,52.4,0.113,"0.6",14.3,201952,1.133,0.335,2.183,984,0.839430894308943,"G",5.28230047515463,"16-30",2.72321618088366,19,2.55908429427097
"551",20,"UTA","Eric Maynor",5,267,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,"-2.9",-0.8,201953,0.416,0.075,1.052,410,0.651219512195122,"G",2.11326379899393,"16-30",2.66942577373078,19,-0.556161974736852
"552",21,"NOH","Darren Collison",11,711,0.471,0.394,0.853,29.3,12.5,2.7,5,49.9,0.115,"0.5",13.4,201954,1.155,0.149,1.945,902,0.788248337028825,"G",5.27661210519243,"16-30",3.55641440446149,15,1.72019770073094
"553",22,"POR","Victor Claver",3,80,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,"-3.6",-0.4,201964,0.375,0.2,0.725,246,0.32520325203252,"F",1.16746836776749,"16-30",2.46886810084039,17,-1.3013997330729
"554",23,"SAC","Omri Casspi",10,588,0.454,0.368,0.678,20.3,7.9,4,1.1,19.6,0.078,"-0.8",3.5,201956,0.616,0.228,1.012,820,0.717073170731707,"F",2.65618123270298,"16-30",2.8526232644035,19,-0.196442031700529
"555",24,"DAL","Byron Mullens",5,189,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,"-4",-1.8,201957,0.392,0.519,0.989,410,0.460975609756098,"C",1.89114003027434,"16-30",3.01275508091882,20,-1.12161505064448
"556",25,"OKC","Rodrigue Beaubois",4,182,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,"-0.1",1.4,201958,0.681,0.286,1.121,328,0.554878048780488,"G",2.89537710563771,"16-30",2.46676606636341,20,0.428611039274299
"557",26,"CHI","Taj Gibson",16,1002,0.517,0.266,0.712,23,8.4,5.7,0.9,60.2,0.125,"-0.9",6.5,201959,0.529,0.962,1.043,1312,0.763719512195122,"F",2.88240081715793,"16-30",2.63290018518975,17,0.24950063196818
"558",27,"MEM","DeMarre Carroll",11,578,0.43,0.358,0.741,23.7,8.9,4.2,1.3,29.5,0.104,"0",6.7,201960,0.907,0.261,0.862,902,0.64079822616408,"F",3.03991539243646,"16-30",2.75816560979671,18,0.281749782639754
"559",28,"MIN","Wayne Ellington",13,770,0.41,0.382,0.843,20.9,8,2.1,1.1,21.1,0.063,"-1.5",2.2,201961,0.535,0.086,0.66,1066,0.722326454033771,"G",2.97475909190951,"16-30",2.42838908895637,17,0.54637000295314
"560",29,"LAL","Toney Douglas",8,394,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,"-0.8",2.2,201962,0.886,0.076,1.041,656,0.600609756097561,"G",3.14102168911546,"16-30",1.86228316485971,16,1.27873852425576
"561",31,"SAC","Jeff Ayres",6,237,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,"-2.3",-0.2,201965,0.156,0.278,0.557,492,0.481707317073171,"F",1.0340250710521,"31-60",2.89122383043389,15,-1.85719875938179
"562",33,"POR","Dante Cunningham",10,715,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9,0.08,"-1.7",1.1,201967,0.642,0.47,0.492,820,0.871951219512195,"F",2.02623766626468,"31-60",1.91168645371807,12,0.114551212546617
"563",35,"DET","DaJuan Summers",4,83,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1,-0.008,"-5.8",-0.8,201969,0.217,0.096,0.446,328,0.253048780487805,"F",1.03262827590332,"31-60",2.27861211179468,12,-1.24598383589137
"564",36,"MEM","Sam Young",4,249,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,"-2.1",-0.1,201970,0.538,0.229,0.819,328,0.759146341463415,"F",1.89297967651595,"31-60",1.85651999136716,11,0.0364596851487917
"565",37,"SAS","DeJuan Blair",7,424,0.524,0,0.608,16.6,6.8,5.1,0.8,19,0.129,"-1.2",1.4,201971,0.745,0.3,1.111,574,0.738675958188153,"C",1.84293152099082,"31-60",2.12535211082682,11,-0.282420589836001
"566",38,"POR","Jon Brockman",3,150,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,"-3.9",-0.8,201972,0.22,0.06,0.38,246,0.609756097560976,"F",0.773835451927415,"31-60",2.46860903017935,15,-1.69477357825194
"567",39,"DET","Jonas Jerebko",9,635,0.457,0.363,0.77,17.8,6.2,4,0.8,25.8,0.109,"-1",2.9,201973,0.506,0.241,0.69,738,0.860433604336043,"F",2.12442864859604,"31-60",2.5674822870241,11,-0.443053638428057
"568",40,"CHA","Derrick Brown",3,171,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,"-1.3",0.4,201974,0.52,0.187,0.637,246,0.695121951219512,"F",1.74839492768029,"31-60",3.2073762089899,12,-1.45898128130961
"569",41,"MIL","Jodie Meeks",10,539,0.42,0.373,0.879,22.5,9.3,2.1,1.1,24.3,0.096,"-0.6",4.2,201975,0.766,0.067,0.761,820,0.657317073170732,"G",3.37026878781856,"31-60",3.19333533101523,8,0.176933456803328
"570",42,"LAL","Patrick Beverley",12,666,0.413,0.371,0.76,26.6,8.3,4.1,3.4,40.2,0.109,"0.7",12.1,201976,1.063,0.515,1.189,984,0.676829268292683,"G",3.90655985592639,"31-60",2.5964683618649,8,1.31009149406149
"571",43,"MIA","Marcus Thornton",8,483,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20,0.085,"0.2",6.2,201977,0.839,0.126,1.017,656,0.736280487804878,"F",3.82144718338807,"31-60",2.84208748490106,13,0.979359698487009
"572",44,"DET","Chase Budinger",7,407,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,"-0.5",2.9,201978,0.523,0.16,0.762,574,0.709059233449477,"F",2.68284888987474,"31-60",1.97812928852759,8,0.704719601347152
"573",46,"CLE","Danny Green",15,832,0.421,0.4,0.805,25.1,8.7,3.4,1.5,49.3,0.113,"1.8",20.2,201980,1.025,0.762,0.992,1230,0.676422764227642,"G",3.51172620173641,"31-60",3.07973834266132,7,0.431987859075099
"574",52,"IND","A.J. Price",6,261,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,"-1.3",0.7,NA,0.479,0.034,0.877,492,0.530487804878049,"G",2.44966934248917,"31-60",1.51513256263103,6,0.934536779858138
"575",55,"POR","Patty Mills",16,921,0.423,0.385,0.857,19.9,8.7,1.6,2.2,35.9,0.094,"-0.2",8.5,201988,0.631,0.087,0.935,1312,0.701981707317073,"G",3.36660198048476,"31-60",2.05344127678194,6,1.31316070370282
"576",58,"BOS","Lester Hudson",4,57,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,"-2.1",0,201991,0.561,0.14,0.982,328,0.173780487804878,"G",1.87237415944507,"31-60",1.67734968765244,4,0.195024471792634
